wave(nm)		 AOI
350.397186279297 65
351.986511230469 65
353.575805664063 65
355.165100097656 65
356.75439453125 65
358.343597412109 65
359.932891845703 65
361.522186279297 65
363.111389160156 65
364.700592041016 65
366.289794921875 65
367.878997802734 65
369.468200683594 65
371.057403564453 65
372.646606445313 65
374.235687255859 65
375.824890136719 65
377.414001464844 65
379.003112792969 65
380.592193603516 65
382.181304931641 65
383.770385742188 65
385.359497070313 65
386.948486328125 65
388.53759765625 65
390.126586914063 65
391.715606689453 65
393.304595947266 65
394.893585205078 65
396.482513427734 65
398.071502685547 65
399.660400390625 65
401.249298095703 65
402.838195800781 65
404.427093505859 65
406.015991210938 65
407.604797363281 65
409.193695068359 65
410.782501220703 65
412.371185302734 65
413.959991455078 65
415.548797607422 65
417.137512207031 65
418.726196289063 65
420.314910888672 65
421.903594970703 65
423.4921875 65
425.080902099609 65
426.669494628906 65
428.258087158203 65
429.846588134766 65
431.435211181641 65
433.023590087891 65
434.612213134766 65
436.200592041016 65
437.789093017578 65
439.377410888672 65
440.965911865234 65
442.55419921875 65
444.142486572266 65
445.730895996094 65
447.319213867188 65
448.907409667969 65
450.49560546875 65
452.083801269531 65
453.671997070313 65
455.260101318359 65
456.848205566406 65
458.436309814453 65
460.024291992188 65
461.6123046875 65
463.200286865234 65
464.788208007813 65
466.376190185547 65
467.963989257813 65
469.551788330078 65
471.139709472656 65
472.727386474609 65
474.315185546875 65
475.902893066406 65
477.490509033203 65
479.078186035156 65
480.665802001953 65
482.253295898438 65
483.840789794922 65
485.428314208984 65
487.015686035156 65
488.603088378906 65
490.190399169922 65
491.777709960938 65
493.364990234375 65
494.952209472656 65
496.539398193359 65
498.126495361328 65
499.713592529297 65
501.300689697266 65
502.887603759766 65
504.474609375 65
506.061492919922 65
507.648284912109 65
509.235198974609 65
510.821899414063 65
512.408630371094 65
513.995178222656 65
515.581909179688 65
517.168518066406 65
518.7548828125 65
520.341369628906 65
521.927795410156 65
523.514221191406 65
525.100524902344 65
526.686584472656 65
528.272827148438 65
529.859008789063 65
531.445129394531 65
533.031127929688 65
534.617004394531 65
536.202880859375 65
537.788696289063 65
539.37451171875 65
540.960327148438 65
542.5458984375 65
544.131469726563 65
545.716979980469 65
547.302490234375 65
548.887878417969 65
550.473327636719 65
552.058471679688 65
553.643676757813 65
555.228881835938 65
556.814025878906 65
558.398986816406 65
559.98388671875 65
561.568786621094 65
563.153625488281 65
564.73828125 65
566.322998046875 65
567.907592773438 65
569.492126464844 65
571.076599121094 65
572.661010742188 65
574.245300292969 65
575.829528808594 65
577.413696289063 65
578.997802734375 65
580.581787109375 65
582.165710449219 65
583.749572753906 65
585.333374023438 65
586.917114257813 65
588.500671386719 65
590.084228515625 65
591.667724609375 65
593.251098632813 65
594.834411621094 65
596.417602539063 65
598.000793457031 65
599.583923339844 65
601.166809082031 65
602.749694824219 65
604.33251953125 65
605.915222167969 65
607.497924804688 65
609.080383300781 65
610.662902832031 65
612.245178222656 65
613.827514648438 65
615.409729003906 65
616.991821289063 65
618.573913574219 65
620.155822753906 65
621.737609863281 65
623.319396972656 65
624.901000976563 65
626.482482910156 65
628.064086914063 65
629.645385742188 65
631.226684570313 65
632.807922363281 65
634.388977050781 65
635.969970703125 65
637.55078125 65
639.131713867188 65
640.712280273438 65
642.292907714844 65
643.873413085938 65
645.453918457031 65
647.034118652344 65
648.614379882813 65
650.194519042969 65
651.7744140625 65
653.354370117188 65
654.93408203125 65
656.513793945313 65
658.093383789063 65
659.672912597656 65
661.252319335938 65
662.831481933594 65
664.410705566406 65
665.989685058594 65
667.568725585938 65
669.147583007813 65
670.726318359375 65
672.304870605469 65
673.883422851563 65
675.461791992188 65
677.040222167969 65
678.618286132813 65
680.196411132813 65
681.7744140625 65
683.352172851563 65
684.929992675781 65
686.507629394531 65
688.085083007813 65
689.662475585938 65
691.239807128906 65
692.817016601563 65
694.393981933594 65
695.971008300781 65
697.547912597656 65
699.124572753906 65
700.701171875 65
702.277587890625 65
703.85400390625 65
705.43017578125 65
707.006408691406 65
708.582397460938 65
710.158325195313 65
711.734008789063 65
713.309692382813 65
714.885314941406 65
716.460571289063 65
718.035888671875 65
719.611083984375 65
721.186218261719 65
722.761108398438 65
724.335876464844 65
725.910583496094 65
727.485229492188 65
729.0595703125 65
730.633911132813 65
732.208129882813 65
733.7822265625 65
735.356079101563 65
736.929992675781 65
738.503723144531 65
740.077270507813 65
741.650695800781 65
743.223999023438 65
744.797180175781 65
746.370178222656 65
747.943176269531 65
749.515991210938 65
751.088684082031 65
752.661315917969 65
754.233825683594 65
755.806030273438 65
757.378173828125 65
758.950317382813 65
760.522216796875 65
762.093994140625 65
763.665588378906 65
765.237182617188 65
766.808715820313 65
768.3798828125 65
769.951110839844 65
771.522094726563 65
773.093017578125 65
774.663818359375 65
776.234497070313 65
777.804992675781 65
779.375427246094 65
780.945617675781 65
782.515686035156 65
784.085815429688 65
785.655578613281 65
787.225280761719 65
788.794982910156 65
790.364379882813 65
791.933776855469 65
793.503112792969 65
795.072082519531 65
796.64111328125 65
798.209777832031 65
799.778625488281 65
801.347229003906 65
802.915588378906 65
804.48388671875 65
806.052124023438 65
807.620178222656 65
809.188110351563 65
810.755920410156 65
812.323486328125 65
813.89111328125 65
815.45849609375 65
817.025817871094 65
818.592895507813 65
820.159973144531 65
821.726928710938 65
823.293579101563 65
824.860229492188 65
826.426818847656 65
827.992980957031 65
829.559387207031 65
831.12548828125 65
832.691528320313 65
834.25732421875 65
835.823120117188 65
837.388793945313 65
838.954223632813 65
840.519470214844 65
842.084777832031 65
843.64990234375 65
845.215026855469 65
846.77978515625 65
848.344482421875 65
849.9091796875 65
851.473571777344 65
853.038024902344 65
854.602172851563 65
856.166381835938 65
857.730285644531 65
859.294311523438 65
860.857971191406 65
862.421569824219 65
863.985229492188 65
865.548522949219 65
867.11181640625 65
868.674987792969 65
870.237976074219 65
871.800903320313 65
873.363586425781 65
874.926391601563 65
876.489013671875 65
878.051391601563 65
879.613586425781 65
881.175903320313 65
882.737976074219 65
884.299987792969 65
885.861877441406 65
887.423583984375 65
888.985229492188 65
890.546813964844 65
892.108215332031 65
893.669616699219 65
895.230773925781 65
896.791809082031 65
898.352783203125 65
899.913696289063 65
901.474426269531 65
903.034973144531 65
904.595581054688 65
906.156127929688 65
907.716369628906 65
909.276672363281 65
910.836791992188 65
912.396789550781 65
913.956726074219 65
915.5166015625 65
917.076293945313 65
918.635925292969 65
920.195495605469 65
921.7548828125 65
923.314270019531 65
924.873413085938 65
926.4326171875 65
927.99169921875 65
929.550720214844 65
931.109497070313 65
932.668273925781 65
934.226928710938 65
935.785522460938 65
937.344116210938 65
938.902526855469 65
940.460815429688 65
942.019226074219 65
943.577270507813 65
945.135375976563 65
946.693420410156 65
948.251281738281 65
949.80908203125 65
951.366882324219 65
952.924621582031 65
954.482177734375 65
956.039672851563 65
957.597229003906 65
959.154602050781 65
960.7119140625 65
962.269226074219 65
963.826416015625 65
965.383422851563 65
966.940612792969 65
968.497375488281 65
970.054382324219 65
971.611206054688 65
973.168090820313 65
974.724670410156 65
976.281372070313 65
977.838073730469 65
979.394714355469 65
MSE = 0.425438981801195
