wavelength(nm)	n	k
350.397168	5.575116341630876	2.882910135668192
351.986475	5.6298647781181845	2.8824680694763307
353.575781	5.694208143891422	2.882170454882583
355.165088	5.769801086624469	2.8801236964544685
356.75437	5.857976065764184	2.8738368981496003
358.343628	5.9597321522128945	2.8602318297626708
359.932886	6.075871598296093	2.835344874766613
361.522144	6.206326392813432	2.794090834010452
363.111377	6.349376192069463	2.729877722493173
364.70061	6.500291087028736	2.635204075666949
366.289819	6.649952740238603	2.5032917564574166
367.879028	6.7842598306325055	2.331411551765235
369.468213	6.887683269547692	2.124247510472044
371.057397	6.947543735653309	1.8939306814311805
372.646582	6.958287367916266	1.658044165863544
374.235718	6.923734883420335	1.4337751090573343
375.824878	6.853906192718896	1.2334619583144117
377.414014	6.761712158417996	1.0628069142880072
379.003125	6.65841017363165	0.9211044821302435
380.592236	6.551878742729575	0.8047351214716573
382.181323	6.446776029659363	0.709071570948483
383.77041	6.345256753609955	0.6300582639411261
385.359473	6.248405544459633	0.5645224752353325
386.948535	6.156747772963972	0.5100014047453381
388.537573	6.070521381726914	0.4645420113774254
390.126587	5.989782603562512	0.42647891819062067
391.715601	5.914436142331307	0.3943711486134388
393.30459	5.844224879010703	0.3670150240551963
394.893579	5.778823671852621	0.34339498460491763
396.482544	5.7178571457018235	0.3226682319382786
398.071484	5.660865047746589	0.30418530025449164
399.660425	5.607404589345942	0.2874450235957024
401.249341	5.557086593218128	0.2720884950257168
402.838232	5.509525909931927	0.25784852730556024
404.4271	5.464365322283737	0.24452896409732916
406.015967	5.421319403131658	0.23201705687064772
407.60481	5.380172801802279	0.22023002114526868
409.193652	5.3407610074366705	0.2091046253146325
410.782471	5.302878279302759	0.1986006600421269
412.37124	5.266344648088763	0.18869050480439564
413.96001	5.2311040450688076	0.17935514772375752
415.548779	5.197075860030774	0.17057504348002134
417.1375	5.16412516557611	0.16232799900279596
418.726221	5.13221193718985	0.15459618689542262
420.314893	5.101348438570125	0.1473640887439339
421.903564	5.071440936476967	0.14060637380260868
423.492236	5.042393986903566	0.13429789121053232
425.080859	5.014221701041163	0.128423927549287
426.669482	4.986928007857776	0.12296526852842209
428.258057	4.9604638950695685	0.11789191527289582
429.846582	4.934777442652487	0.11318011024109165
431.435156	4.909821620163642	0.10881482580184397
433.023633	4.8855846401650656	0.10477576319701275
434.612158	4.862074148058695	0.10103657458266808
436.200586	4.839266109558265	0.09757610241848948
437.789063	4.817109765157416	0.09437558951653353
439.377441	4.795575275335149	0.09141677855268159
440.965869	4.774641233174638	0.08868086355869056
442.554199	4.754315942282605	0.0861504907272529
444.142529	4.734607188125674	0.08380858782686261
445.730859	4.715458003447699	0.081640226027532
447.319141	4.696795270025599	0.07963141103367831
448.907373	4.678634144874202	0.0777682132352776
450.495605	4.661017795856712	0.07603701037009043
452.083789	4.643901264785067	0.07442677111351695
453.671973	4.627203058036183	0.0729275296949714
455.260107	4.61092687926636	0.07152894276966193
456.848193	4.595120173633487	0.07022047708108117
458.436279	4.579757484563823	0.06899365493966275
460.024316	4.5647615440692855	0.06784164726422737
461.612305	4.550110721463237	0.06675749305461122
463.200293	4.535842767775635	0.06573407953748034
464.788232	4.521967648488841	0.06476508249734349
466.376172	4.508444356339271	0.06384528089418773
467.964014	4.495237069963188	0.06296997277691699
469.551855	4.482330967283636	0.06213523468935165
471.139697	4.469717475671943	0.06133733303661124
472.727441	4.45739745289545	0.06057250096974799
474.315186	4.445371906385834	0.059836908117607224
475.902881	4.433629007210417	0.05912753741629776
477.490527	4.422147322743517	0.05844185104627242
479.078174	4.410916912024437	0.057777587478355055
480.665771	4.399946011333603	0.05713294506856312
482.25332	4.389236191598837	0.05650616634540167
483.84082	4.378760963331697	0.05589562087167454
485.428271	4.368489149440162	0.05529972956938994
487.015723	4.358409896317084	0.05471716232726768
488.603125	4.3485264289186585	0.054146800745140895
490.19043	4.338842762055359	0.05358757852716234
491.777734	4.3293631921180245	0.05303847721917098
493.36499	4.320089241466834	0.05249860765837782
494.952246	4.31099568234687	0.051967517926802306
496.539404	4.302047494935315	0.0514449987248876
498.126514	4.293235448920945	0.0509304954738758
499.713623	4.28459097807584	0.05042300414723445
501.300684	4.276143557089522	0.04992160237687849
502.887646	4.267881792886972	0.049425987837964126
504.474609	4.259776224942766	0.04893607374647154
506.061523	4.251803258244785	0.04845180242317124
507.64834	4.243949038294156	0.047973079201302296
509.235156	4.236202114307104	0.047499746113405024
510.821924	4.228576305026047	0.04703149428572358
512.408643	4.221101566002177	0.04656787151842907
513.995264	4.213796301144951	0.04610853742643349
515.581885	4.206631071546533	0.04565350125644394
517.168457	4.199565881081455	0.04520290920790604
518.754932	4.192580209438101	0.044756805602808696
520.341406	4.185684519881074	0.044315030429861575
521.927783	4.178892942434738	0.043877453675378486
523.51416	4.172217770852224	0.043443749389442
525.100439	4.165671309863108	0.04301352951889263
526.68667	4.159261259565835	0.042586452921961795
528.272852	4.152965950978569	0.042162870996338093
529.858984	4.14675031720448	0.04174344242323739
531.445068	4.14058841209383	0.041328614872555694
533.031055	4.134495334256069	0.04091790879652881
534.616992	4.128497143070679	0.04051055883550028
536.202881	4.122611142499469	0.04010605374477485
537.788721	4.116826896829014	0.03970463577063404
539.374512	4.111128603942817	0.039306692376965144
540.960254	4.1055051003208884	0.03891249127996596
542.545898	4.099957178838411	0.03852200793563062
544.131494	4.09448712606517	0.0381351456093378
545.716992	4.089096892676736	0.037751804695868495
547.30249	4.0837862762144255	0.03737178359661671
548.887891	4.078555484814407	0.03699491802621215
550.473242	4.073402533532328	0.036621094337126806
552.058496	4.068321169020574	0.03625044920769611
553.643701	4.063304075174841	0.035883134741669064
555.228857	4.058345291867798	0.03551925674546656
556.813965	4.053443035673824	0.03515871967173051
558.398975	4.048596589619223	0.03480139560590277
559.983936	4.043805796116301	0.03444715147834548
561.568799	4.039075476173391	0.0340959696392462
563.153613	4.034411733532714	0.03374784212587097
564.73833	4.029820283450925	0.033402783154777696
566.322998	4.025299473346464	0.03306079383198082
