wavelength(nm)	 n			 k
607.843	 3.931	 2.762
613.861	 3.918	 2.753
620.000	 3.906	 2.746
626.263	 3.893	 2.737
632.653	 3.882	 2.732
639.175	 3.870	 2.724
645.833	 3.858	 2.716
652.632	 3.847	 2.709
659.574	 3.837	 2.702
666.667	 3.826	 2.695
673.913	 3.815	 2.688
681.319	 3.805	 2.681
688.889	 3.796	 2.675
696.629	 3.787	 2.669
704.545	 3.778	 2.663
712.644	 3.768	 2.657
720.930	 3.761	 2.652
729.412	 3.752	 2.646
738.095	 3.745	 2.641
746.988	 3.736	 2.635
756.098	 3.728	 2.630
765.432	 3.721	 2.625
775.000	 3.714	 2.621
784.810	 3.714	 2.621
794.872	 3.697	 2.609
805.195	 3.688	 2.604
815.789	 3.681	 2.599
826.667	 3.673	 2.594
