wave(nm)	 AOI	 P반사율	 S반사율
700	 40	 0.241981568885235	 0.433805943458967
700	 42	 0.231176514746731	 0.444620828256889
700	 44	 0.21966796548228	 0.456163891099583
700	 46	 0.207440934797247	 0.468464203460653
700	 48	 0.194485109853584	 0.481552143928152
700	 50	 0.180797176797107	 0.495459344667865
700	 52	 0.166384009317929	 0.510218624171192
700	 54	 0.151267054807046	 0.525863904692911
700	 56	 0.1354883952708	 0.542430112743902
700	 58	 0.119119170801777	 0.559953060983111
700	 60	 0.102271368598105	 0.578469309855547
700	 62	 0.0851144588638718	 0.598016007353024
700	 64	 0.0678990960930529	 0.618630705335762
700	 66	 0.0509912595229218	 0.640351150950063
700	 68	 0.0349220507301585	 0.663215051813962
700	 70	 0.0204613704801067	 0.687259813822745
700	 72	 0.00872870138635845	 0.712522250652753
700	 74	 0.00136276934461455	 0.739038264317511
700	 76	 0.000786862284253052	 0.76684249645684
700	 78	 0.0106337642047154	 0.795967950417976
700	 80	 0.0364452552677451	 0.826445584617576
700	 82	 0.0868607129125376	 0.858303878153231
700	 84	 0.175713006477022	 0.891568370159597
