wave(nm)	 AOI	 P반사율	 S반사율
350.397155761719	 40	 0.690745483803139	 0.804813328301528
350.397155761719	 42	 0.682898821940394	 0.810051150706228
350.397155761719	 44	 0.674312913489741	 0.815532549694776
350.397155761719	 46	 0.664911890193039	 0.82125527671002
350.397155761719	 48	 0.654608185950984	 0.827216856870334
350.397155761719	 50	 0.643300407577653	 0.833414574059479
350.397155761719	 52	 0.630870760112288	 0.839845455774878
350.397155761719	 54	 0.617181940983579	 0.846506257801614
350.397155761719	 56	 0.60207341843272	 0.853393448784479
350.397155761719	 58	 0.585357035964422	 0.860503194775408
350.397155761719	 60	 0.566811971276779	 0.867831343838785
350.397155761719	 62	 0.546179304502494	 0.8753734108022
350.397155761719	 64	 0.523157000232963	 0.883124562245363
350.397155761719	 66	 0.49739741912662	 0.89107960182488
350.397155761719	 68	 0.468512640656269	 0.899232956037487
350.397155761719	 70	 0.436100767061381	 0.907578660529003
350.397155761719	 72	 0.399826975834632	 0.916110347060653
350.397155761719	 74	 0.359649968305824	 0.924821231248467
350.397155761719	 76	 0.316449445811609	 0.933704101195071
350.397155761719	 78	 0.273779748634509	 0.942751307136241
350.397155761719	 80	 0.24235763425581	 0.951954752227113
350.397155761719	 82	 0.246226344025041	 0.961305884594672
350.397155761719	 84	 0.313063885051255	 0.970795690784134
351.986480712891	 40	 0.692152287598322	 0.805772809827049
351.986480712891	 42	 0.684331241915061	 0.810987721592818
351.986480712891	 44	 0.675772461180751	 0.816444971594615
351.986480712891	 46	 0.66640003485004	 0.822142298383595
351.986480712891	 48	 0.656126309182278	 0.828077214618998
351.986480712891	 50	 0.644849736778721	 0.834246992304026
351.986480712891	 52	 0.63245227078998	 0.840648647787421
351.986480712891	 54	 0.618796212890086	 0.847278926598085
351.986480712891	 56	 0.60372042204793	 0.854134288184938
351.986480712891	 58	 0.587035812034567	 0.861210890639235
351.986480712891	 60	 0.568520142629591	 0.868504575481633
351.986480712891	 62	 0.547912318185253	 0.876010852601294
351.986480712891	 64	 0.524906923201059	 0.883724885439394
351.986480712891	 66	 0.499150969151108	 0.891641476514267
351.986480712891	 68	 0.470247854102569	 0.899755053390244
351.986480712891	 70	 0.437781124939706	 0.908059655196739
351.986480712891	 72	 0.401390556416996	 0.916548919808472
351.986480712891	 74	 0.360988455582354	 0.925216071801569
351.986480712891	 76	 0.317366499344795	 0.934053911303783
351.986480712891	 78	 0.273915991613128	 0.943054803860002
351.986480712891	 80	 0.241143724287741	 0.952210671436541
351.986480712891	 82	 0.243309983538972	 0.961512984689313
351.986480712891	 84	 0.309164678246177	 0.970952756621832
353.575775146484	 40	 0.693812365120479	 0.806904198417367
353.575775146484	 42	 0.686021795355847	 0.812092079613993
353.575775146484	 44	 0.677495334717199	 0.817520838258906
353.575775146484	 46	 0.668157037150834	 0.82318819780007
353.575775146484	 48	 0.657919163784994	 0.829091656324446
353.575775146484	 50	 0.646680008726624	 0.835228471967755
353.575775146484	 52	 0.634321258388228	 0.841595648098505
353.575775146484	 54	 0.620704787564254	 0.848189918343504
353.575775146484	 56	 0.605668789812978	 0.855007731526971
353.575775146484	 58	 0.589023154424389	 0.862045236600243
353.575775146484	 60	 0.570544068324033	 0.869298267644088
353.575775146484	 62	 0.549968009870786	 0.876762329030576
353.575775146484	 64	 0.526985779225328	 0.884432580836375
353.575775146484	 66	 0.501238378446889	 0.892303824604161
353.575775146484	 68	 0.472319423286248	 0.900370489553471
353.575775146484	 70	 0.439796011114057	 0.908626619346753
353.575775146484	 72	 0.403279110115969	 0.917065859520485
353.575775146484	 74	 0.362628156777243	 0.925681445695005
353.575775146484	 76	 0.318533618621942	 0.934466192679986
353.575775146484	 78	 0.274195578441171	 0.943412484595258
353.575775146484	 80	 0.239858662802349	 0.952512266128845
353.575775146484	 82	 0.239995320253146	 0.961757035055515
353.575775146484	 84	 0.304641293195858	 0.971137836139798
355.165100097656	 40	 0.695698038566164	 0.808187976318113
355.165100097656	 42	 0.687942231848769	 0.813345129324127
355.165100097656	 44	 0.679452650036924	 0.818741503059699
355.165100097656	 46	 0.67015331028204	 0.82437480431235
355.165100097656	 48	 0.659956381302208	 0.830242515124286
355.165100097656	 50	 0.648759982408932	 0.836341878398115
355.165100097656	 52	 0.636445503475782	 0.842669883286433
355.165100097656	 54	 0.622874342421281	 0.849223250432402
355.165100097656	 56	 0.607883947043994	 0.855998417133276
355.165100097656	 58	 0.591283055775395	 0.86299152250364
355.165100097656	 60	 0.572846085586595	 0.87019839272006
355.165100097656	 62	 0.552306781152185	 0.877614526433664
355.165100097656	 64	 0.529351673738935	 0.885235080442006
355.165100097656	 66	 0.503614980471778	 0.893054855716228
355.165100097656	 68	 0.474679263392498	 0.901068283884055
355.165100097656	 70	 0.442093015879347	 0.909269414273432
355.165100097656	 72	 0.405434584268273	 0.91765190162557
355.165100097656	 74	 0.364503382916668	 0.926208994589736
355.165100097656	 76	 0.319874322230359	 0.93493352511528
355.165100097656	 78	 0.274525891890961	 0.943817898858935
355.165100097656	 80	 0.238383937771463	 0.952854086727424
355.165100097656	 82	 0.23612949931403	 0.962033617676616
355.165100097656	 84	 0.299337396054127	 0.971347572888971
356.754364013672	 40	 0.697759190957256	 0.809589373938839
356.754364013672	 42	 0.69004142696733	 0.814712887391631
356.754364013672	 44	 0.681592183006676	 0.820073815234754
356.754364013672	 46	 0.672335428962116	 0.825669846902625
356.754364013672	 48	 0.662183223170577	 0.831498447761858
356.754364013672	 50	 0.65103348130157	 0.837556844926599
356.754364013672	 52	 0.63876725203338	 0.843842012868092
